"sggcd","type","class1","class2","unit","value","year"
"110016","medicine","doctors","plastic surgery","persons",12,2010
"110016","medicine","doctors","anesthesiology and pain medicine","persons",42,2010
"110016","medicine","doctors","obstetrics and gynecology","persons",48,2010
"110016","medicine","doctors","pediatrics","persons",64,2010
"110016","medicine","doctors","ophthalmology","persons",43,2010
"110016","medicine","doctors","otorhinolaryngology","persons",41,2010
"110016","medicine","doctors","dermatology","persons",25,2010
"110016","medicine","doctors","urology","persons",29,2010
"110016","medicine","doctors","radiology","persons",71,2010
"110016","medicine","doctors","radiation oncology","persons",6,2010
"110016","medicine","doctors","pathology","persons",25,2010
"110016","medicine","doctors","clinical laboratory medicine","persons",13,2010
"110016","medicine","doctors","tuberculosis","persons",0,2010
"110016","medicine","doctors","rehabilitation medicine","persons",8,2010
"110016","medicine","doctors","nuclear medicine","persons",7,2010
"110016","medicine","doctors","family medicine","persons",67,2010
"110016","medicine","doctors","emergency medicine","persons",13,2010
"110016","medicine","doctors","occupational and environmental medicine","persons",5,2010
"110016","medicine","doctors","preventive medicine","persons",4,2010
"110017","medicine","doctors","total","persons",559,2010
"110017","medicine","doctors","internal medicine","persons",80,2010
"110017","medicine","doctors","neurology","persons",10,2010
"110017","medicine","doctors","psychiatry","persons",17,2010
"110017","medicine","doctors","surgery","persons",53,2010
"110017","medicine","doctors","orthopedics","persons",30,2010
"110017","medicine","doctors","neurosurgery","persons",8,2010
"110017","medicine","doctors","thoracic and cardiovascular surgery","persons",7,2010
"110017","medicine","doctors","plastic surgery","persons",11,2010
"110017","medicine","doctors","anesthesiology and pain medicine","persons",20,2010
"110017","medicine","doctors","obstetrics and gynecology","persons",74,2010
"110017","medicine","doctors","pediatrics","persons",21,2010
"110017","medicine","doctors","ophthalmology","persons",31,2010
"110017","medicine","doctors","otorhinolaryngology","persons",28,2010
"110017","medicine","doctors","dermatology","persons",22,2010
"110017","medicine","doctors","urology","persons",28,2010
"110017","medicine","doctors","radiology","persons",35,2010
"110017","medicine","doctors","radiation oncology","persons",4,2010
"110017","medicine","doctors","pathology","persons",11,2010
"110017","medicine","doctors","clinical laboratory medicine","persons",8,2010
"110017","medicine","doctors","tuberculosis","persons",2,2010
"110017","medicine","doctors","rehabilitation medicine","persons",4,2010
"110017","medicine","doctors","nuclear medicine","persons",1,2010
"110017","medicine","doctors","family medicine","persons",46,2010
"110017","medicine","doctors","emergency medicine","persons",6,2010
"110017","medicine","doctors","occupational and environmental medicine","persons",2,2010
"110017","medicine","doctors","preventive medicine","persons",0,2010
"110018","medicine","doctors","total","persons",1328,2010
"110018","medicine","doctors","internal medicine","persons",292,2010
"110018","medicine","doctors","neurology","persons",29,2010
"110018","medicine","doctors","psychiatry","persons",42,2010
"110018","medicine","doctors","surgery","persons",105,2010
"110018","medicine","doctors","orthopedics","persons",79,2010
"110018","medicine","doctors","neurosurgery","persons",26,2010
"110018","medicine","doctors","thoracic and cardiovascular surgery","persons",22,2010
"110018","medicine","doctors","plastic surgery","persons",15,2010
"110018","medicine","doctors","anesthesiology and pain medicine","persons",84,2010
"110018","medicine","doctors","obstetrics and gynecology","persons",92,2010
"110018","medicine","doctors","pediatrics","persons",102,2010
"110018","medicine","doctors","ophthalmology","persons",49,2010
"110018","medicine","doctors","otorhinolaryngology","persons",61,2010
"110018","medicine","doctors","dermatology","persons",45,2010
"110018","medicine","doctors","urology","persons",35,2010
"110018","medicine","doctors","radiology","persons",107,2010
"110018","medicine","doctors","radiation oncology","persons",9,2010
"110018","medicine","doctors","pathology","persons",21,2010
"110018","medicine","doctors","clinical laboratory medicine","persons",21,2010
"110018","medicine","doctors","tuberculosis","persons",0,2010
"110018","medicine","doctors","rehabilitation medicine","persons",19,2010
"110018","medicine","doctors","nuclear medicine","persons",4,2010
"110018","medicine","doctors","family medicine","persons",51,2010
"110018","medicine","doctors","emergency medicine","persons",17,2010
"110018","medicine","doctors","occupational and environmental medicine","persons",1,2010
"110018","medicine","doctors","preventive medicine","persons",0,2010
"110019","medicine","doctors","total","persons",338,2010
"110019","medicine","doctors","internal medicine","persons",54,2010
"110019","medicine","doctors","neurology","persons",4,2010
"110019","medicine","doctors","psychiatry","persons",13,2010
"110019","medicine","doctors","surgery","persons",24,2010
"110019","medicine","doctors","orthopedics","persons",35,2010
"110019","medicine","doctors","neurosurgery","persons",11,2010
"110019","medicine","doctors","thoracic and cardiovascular surgery","persons",1,2010
"110019","medicine","doctors","plastic surgery","persons",0,2010
"110019","medicine","doctors","anesthesiology and pain medicine","persons",12,2010
"110019","medicine","doctors","obstetrics and gynecology","persons",30,2010
"110019","medicine","doctors","pediatrics","persons",28,2010
"110019","medicine","doctors","ophthalmology","persons",12,2010
"110019","medicine","doctors","otorhinolaryngology","persons",22,2010
"110019","medicine","doctors","dermatology","persons",12,2010
"110019","medicine","doctors","urology","persons",9,2010
"110019","medicine","doctors","radiology","persons",9,2010
"110019","medicine","doctors","radiation oncology","persons",0,2010
"110019","medicine","doctors","pathology","persons",1,2010
"110019","medicine","doctors","clinical laboratory medicine","persons",3,2010
"110019","medicine","doctors","tuberculosis","persons",0,2010
"110019","medicine","doctors","rehabilitation medicine","persons",8,2010
"110019","medicine","doctors","nuclear medicine","persons",1,2010
"110019","medicine","doctors","family medicine","persons",43,2010
"110019","medicine","doctors","emergency medicine","persons",4,2010
