sido_kr,sigungu_kr,sigungu_1_kr,sigungu_2_kr,sido_en,sigun_en,sigungu_1_en,sigungu_2_en,sdsgg_en,base_year,tax_exclude
전라북도,정읍시,정읍시,정읍시,Jeollabuk-do,Jeongeup-si,Jeongeup-si,Jeongeup-si,Jeongeup-si Jeollabuk-do,2020,
전라북도,남원시,남원시,남원시,Jeollabuk-do,Namwon-si,Namwon-si,Namwon-si,Namwon-si Jeollabuk-do,2020,
전라북도,김제시,김제시,김제시,Jeollabuk-do,Gimje-si,Gimje-si,Gimje-si,Gimje-si Jeollabuk-do,2020,
전라북도,완주군,완주군,완주군,Jeollabuk-do,Wanju-gun,Wanju-gun,Wanju-gun,Wanju-gun Jeollabuk-do,2020,
전라북도,진안군,진안군,진안군,Jeollabuk-do,Jinan-gun,Jinan-gun,Jinan-gun,Jinan-gun Jeollabuk-do,2020,
전라북도,무주군,무주군,무주군,Jeollabuk-do,Muju-gun,Muju-gun,Muju-gun,Muju-gun Jeollabuk-do,2020,
전라북도,장수군,장수군,장수군,Jeollabuk-do,Jangsu-gun,Jangsu-gun,Jangsu-gun,Jangsu-gun Jeollabuk-do,2020,
전라북도,임실군,임실군,임실군,Jeollabuk-do,Imsil-gun,Imsil-gun,Imsil-gun,Imsil-gun Jeollabuk-do,2020,
전라북도,순창군,순창군,순창군,Jeollabuk-do,Sunchang-gun,Sunchang-gun,Sunchang-gun,Sunchang-gun Jeollabuk-do,2020,
전라북도,고창군,고창군,고창군,Jeollabuk-do,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun Jeollabuk-do,2020,
전라북도,부안군,부안군,부안군,Jeollabuk-do,Buan-gun,Buan-gun,Buan-gun,Buan-gun Jeollabuk-do,2020,
전라남도,목포시,목포시,목포시,Jeollanam-do,Mokpo-si,Mokpo-si,Mokpo-si,Mokpo-si Jeollanam-do,2020,
전라남도,여수시,여수시,여수시,Jeollanam-do,Yeosu-si,Yeosu-si,Yeosu-si,Yeosu-si Jeollanam-do,2020,
