"year","sggcd","type","class1","class2","unit","value"
2015,"4200042","environment","organic_matter","discharge","kg_day",53
2015,"4200043","environment","organic_matter","discharge","kg_day",44
2015,"4200044","environment","organic_matter","discharge","kg_day",543
2015,"4200045","environment","organic_matter","discharge","kg_day",173
2015,"4200047","environment","organic_matter","discharge","kg_day",2454
2015,"4200048","environment","organic_matter","discharge","kg_day",37
2015,"4200049","environment","organic_matter","discharge","kg_day",150
2015,"4200050","environment","organic_matter","discharge","kg_day",416
2015,"4200051","environment","organic_matter","discharge","kg_day",54
2015,"4200052","environment","organic_matter","discharge","kg_day",621
2015,"4200053","environment","organic_matter","discharge","kg_day",140
2015,"4200054","environment","organic_matter","discharge","kg_day",671
2015,"4200055","environment","organic_matter","discharge","kg_day",365
2015,"4200057","environment","organic_matter","discharge","kg_day",3198
2015,"4200058","environment","organic_matter","discharge","kg_day",155
2015,"4200059","environment","organic_matter","discharge","kg_day",59
2015,"4200060","environment","organic_matter","discharge","kg_day",216
2015,"4200061","environment","organic_matter","discharge","kg_day",77
2015,"4200062","environment","organic_matter","discharge","kg_day",1076
2015,"4200063","environment","organic_matter","discharge","kg_day",308
2015,"4200064","environment","organic_matter","discharge","kg_day",118
2015,"4200065","environment","organic_matter","discharge","kg_day",1127
2015,"4200066","environment","organic_matter","discharge","kg_day",36
2015,"4200067","environment","organic_matter","discharge","kg_day",26
2015,"4200069","environment","organic_matter","discharge","kg_day",1096
2015,"4200070","environment","organic_matter","discharge","kg_day",64
2015,"4200071","environment","organic_matter","discharge","kg_day",141
2015,"4200072","environment","organic_matter","discharge","kg_day",109
2015,"4200073","environment","organic_matter","discharge","kg_day",276
2015,"4200074","environment","organic_matter","discharge","kg_day",506
2015,"4200076","environment","organic_matter","discharge","kg_day",994
2015,"4200077","environment","organic_matter","discharge","kg_day",148
2015,"4200078","environment","organic_matter","discharge","kg_day",122
2015,"4200079","environment","organic_matter","discharge","kg_day",158
2015,"4200080","environment","organic_matter","discharge","kg_day",227
2015,"4200081","environment","organic_matter","discharge","kg_day",339
2015,"4200083","environment","organic_matter","discharge","kg_day",878
2015,"4200084","environment","organic_matter","discharge","kg_day",61
2015,"4200085","environment","organic_matter","discharge","kg_day",211
2015,"4200086","environment","organic_matter","discharge","kg_day",33
2015,"4200087","environment","organic_matter","discharge","kg_day",121
2015,"4200088","environment","organic_matter","discharge","kg_day",452
2015,"4200090","environment","organic_matter","discharge","kg_day",321
2015,"4200092","environment","organic_matter","discharge","kg_day",14341
2015,"4200093","environment","organic_matter","discharge","kg_day",99
2015,"4200094","environment","organic_matter","discharge","kg_day",194
2015,"4200095","environment","organic_matter","discharge","kg_day",55
2015,"4200096","environment","organic_matter","discharge","kg_day",102
2015,"4200098","environment","organic_matter","discharge","kg_day",48
2015,"4200099","environment","organic_matter","discharge","kg_day",226
2015,"4200100","environment","organic_matter","discharge","kg_day",131
2015,"4200101","environment","organic_matter","discharge","kg_day",141
2015,"4200102","environment","organic_matter","discharge","kg_day",101
2015,"4200103","environment","organic_matter","discharge","kg_day",139
2015,"4200104","environment","organic_matter","discharge","kg_day",300
2015,"4200105","environment","organic_matter","discharge","kg_day",53
2015,"4200106","environment","organic_matter","discharge","kg_day",396
2015,"4200108","environment","organic_matter","discharge","kg_day",77
2015,"4200109","environment","organic_matter","discharge","kg_day",648
2015,"4200110","environment","organic_matter","discharge","kg_day",134
2015,"4200112","environment","organic_matter","discharge","kg_day",1446
2015,"4200113","environment","organic_matter","discharge","kg_day",176
2015,"4200115","environment","organic_matter","discharge","kg_day",155
2015,"4200117","environment","organic_matter","discharge","kg_day",270
2015,"4200118","environment","organic_matter","discharge","kg_day",115
2015,"4200119","environment","organic_matter","discharge","kg_day",20
2015,"4200120","environment","organic_matter","discharge","kg_day",75
2015,"4200121","environment","organic_matter","discharge","kg_day",394
2015,"4200122","environment","organic_matter","discharge","kg_day",106
2015,"4200123","environment","organic_matter","discharge","kg_day",794
2015,"4200124","environment","organic_matter","discharge","kg_day",140
2015,"4200125","environment","organic_matter","discharge","kg_day",84
2015,"4200126","environment","organic_matter","discharge","kg_day",80
2015,"4200128","environment","organic_matter","discharge","kg_day",371
2015,"4200129","environment","organic_matter","discharge","kg_day",247
2015,"4200130","environment","organic_matter","discharge","kg_day",62
2015,"4200132","environment","organic_matter","discharge","kg_day",876
2015,"4200134","environment","organic_matter","discharge","kg_day",285
2015,"4200136","environment","organic_matter","discharge","kg_day",601
2015,"4200138","environment","organic_matter","discharge","kg_day",851
2015,"4200140","environment","organic_matter","discharge","kg_day",1870
2015,"4200142","environment","organic_matter","discharge","kg_day",355
2015,"4200144","environment","organic_matter","discharge","kg_day",688
2015,"4200146","environment","organic_matter","discharge","kg_day",913
2015,"4200148","environment","organic_matter","discharge","kg_day",199
2015,"4200149","environment","organic_matter","discharge","kg_day",134
2015,"4200150","environment","organic_matter","discharge","kg_day",95
2015,"4200151","environment","organic_matter","discharge","kg_day",95
2015,"4200155","environment","organic_matter","discharge","kg_day",2086
2015,"4200156","environment","organic_matter","discharge","kg_day",230
2015,"4200157","environment","organic_matter","discharge","kg_day",340
2015,"4200158","environment","organic_matter","discharge","kg_day",248
2015,"4200159","environment","organic_matter","discharge","kg_day",105
2015,"4200160","environment","organic_matter","discharge","kg_day",75
2015,"4200161","environment","organic_matter","discharge","kg_day",62
2015,"4200162","environment","organic_matter","discharge","kg_day",115
2015,"4200163","environment","organic_matter","discharge","kg_day",158
2015,"4200164","environment","organic_matter","discharge","kg_day",82
2015,"4200165","environment","organic_matter","discharge","kg_day",69
2015,"4200166","environment","organic_matter","discharge","kg_day",75
2015,"4200167","environment","organic_matter","discharge","kg_day",75
2015,"4200168","environment","organic_matter","discharge","kg_day",110
2015,"4200169","environment","organic_matter","discharge","kg_day",70
2015,"4200170","environment","organic_matter","discharge","kg_day",51
2015,"4200171","environment","organic_matter","discharge","kg_day",84
2015,"4200172","environment","organic_matter","discharge","kg_day",71
2015,"4200173","environment","organic_matter","discharge","kg_day",66
2015,"4200175","environment","organic_matter","discharge","kg_day",2743
2015,"4200176","environment","organic_matter","discharge","kg_day",118
2015,"4200177","environment","organic_matter","discharge","kg_day",308
2015,"4200180","environment","organic_matter","discharge","kg_day",297
2015,"4200181","environment","organic_matter","discharge","kg_day",180
2015,"4200182","environment","organic_matter","discharge","kg_day",463
2015,"4200183","environment","organic_matter","discharge","kg_day",61
2015,"4200184","environment","organic_matter","discharge","kg_day",96
2015,"4200185","environment","organic_matter","discharge","kg_day",64
2015,"4200186","environment","organic_matter","discharge","kg_day",73
2015,"4200188","environment","organic_matter","discharge","kg_day",367
2015,"4200189","environment","organic_matter","discharge","kg_day",131
2015,"4200190","environment","organic_matter","discharge","kg_day",515
2015,"4200191","environment","organic_matter","discharge","kg_day",70
2015,"4200193","environment","organic_matter","discharge","kg_day",2792
2015,"4200196","environment","organic_matter","discharge","kg_day",347
2015,"4200197","environment","organic_matter","discharge","kg_day",475
2015,"4200199","environment","organic_matter","discharge","kg_day",174
2015,"4200200","environment","organic_matter","discharge","kg_day",156
2015,"4200201","environment","organic_matter","discharge","kg_day",272
2015,"4200202","environment","organic_matter","discharge","kg_day",217
2015,"4200203","environment","organic_matter","discharge","kg_day",220
2015,"4200205","environment","organic_matter","discharge","kg_day",24
2015,"4200207","environment","organic_matter","discharge","kg_day",255
2015,"4200209","environment","organic_matter","discharge","kg_day",74
2015,"4200210","environment","organic_matter","discharge","kg_day",67
2015,"4200211","environment","organic_matter","discharge","kg_day",43
2015,"4200212","environment","organic_matter","discharge","kg_day",101
2015,"4200213","environment","organic_matter","discharge","kg_day",105
2015,"4200214","environment","organic_matter","discharge","kg_day",48
2015,"4200216","environment","organic_matter","discharge","kg_day",214
2015,"4200218","environment","organic_matter","discharge","kg_day",2574
2015,"4200219","environment","organic_matter","discharge","kg_day",153
2015,"4200220","environment","organic_matter","discharge","kg_day",280
2015,"4200221","environment","organic_matter","discharge","kg_day",315
2015,"4200222","environment","organic_matter","discharge","kg_day",762
2015,"4200223","environment","organic_matter","discharge","kg_day",174
2015,"4200224","environment","organic_matter","discharge","kg_day",117
2015,"4200225","environment","organic_matter","discharge","kg_day",223
2015,"4200227","environment","organic_matter","discharge","kg_day",163
